repo,instance_id,base_commit,patch,test_patch,problem_statement,hints_text,created_at,image_assets,version,FAIL_TO_PASS,PASS_TO_PASS,resolved,commit_date,author_date,author_year,author_month,commit_year,commit_month
grommet/grommet,grommet__grommet-6282,25f14d68f27a473691742cf37147050c1693cd7d,,,"Data Table sort breaks if a property is null or undefined
### Expected Behavior
Undefined properties should be treated as empty string

### Actual Behavior
When sorting a column, items are not re-ordered as expected if an item in the table has the property set to null or undefined

### URL, screen shot, or Codepen exhibiting the issue
See [Codesandbox](https://codesandbox.io/s/grommet-v2-template-forked-0ytqfb?file=/index.js:1723-1727)

<img width=""1047"" alt=""Screen Shot 2022-08-17 at 9 25 56 AM"" src=""https://user-images.githubusercontent.com/9042104/185192572-2e6dbfec-b56a-4a1a-9576-e65078681da4.png"">


### Steps to Reproduce
On Code sandbox - sort by Parent_id

### Your Environment



- Grommet version: 2.23.0, also reproducible w/ 2.25.1
- Browser Name and version: Chrome Version 104.0.5112.79 (Official Build) (x86_64)
- Operating System and version (desktop or mobile): NA

",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/9042104/185192572-2e6dbfec-b56a-4a1a-9576-e65078681da4.png""]}",,,,True,2022-08-16 23:19:47+00:00,2022-08-16 23:19:47+00:00,2022,8,2022,8
grommet/grommet,grommet__grommet-6749,f1ea50db8b8d9236c616f4114934f29acc21a0b7,,,"Data - Missing DataTableGroup component
There are many `Data` related components.  One that I feel is missing is `DataTableGroup`, which would simply provide a control to select the `DataTable groupBy={groupBy}` value.

Here's an example where it is implemented as a `Select` component:

![image](https://user-images.githubusercontent.com/8231064/229930828-44bd4dbf-d733-4b24-8d51-81d61e9798a2.png)

![image](https://user-images.githubusercontent.com/8231064/229931489-0d37675d-27a8-4278-90d4-6fdc856518d2.png)

![image](https://user-images.githubusercontent.com/8231064/229931024-c1380156-2248-42cd-ac5d-bcf96c3a6977.png)

",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/8231064/229930828-44bd4dbf-d733-4b24-8d51-81d61e9798a2.png"", ""https://user-images.githubusercontent.com/8231064/229931489-0d37675d-27a8-4278-90d4-6fdc856518d2.png"", ""https://user-images.githubusercontent.com/8231064/229931024-c1380156-2248-42cd-ac5d-bcf96c3a6977.png""]}",,,,False,2023-04-17 16:18:28+00:00,2023-04-17 16:18:28+00:00,2023,4,2023,4
grommet/grommet,grommet__grommet-5243,d69a75eadb18d2405bdfab6eede61b08b43d9b22,,,"RadioButtons: check.background.color is being applied to all the radio buttons and not just the checked radio button


### Expected Behavior: When I set a background color for checked radio button, only the currently checked radio button should change the color and other should be default grey. 



### Actual Behavior: For the code here: 
`radioButton: {    
    check: {
      color: '#fff',
      background:{
        color: '#3b5ed8'
      }
    }
  }`

all the radio buttons show the blue background color and not just the one checked. 

![Screen Shot 2021-05-05 at 3 33 16 PM](https://user-images.githubusercontent.com/68026503/117218534-30d84680-adb8-11eb-866b-9e3dd5f44097.png)




### URL, screen shot, or Codepen exhibiting the issue



### Steps to Reproduce

1. 2. 3.

### Your Environment



- Grommet version:
- Browser Name and version: Chrome latest
- Operating System and version (desktop or mobile): Desktop Mac

",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/68026503/117218534-30d84680-adb8-11eb-866b-9e3dd5f44097.png""]}",,,,False,2023-10-20 21:24:57+00:00,2023-10-20 21:24:57+00:00,2023,10,2023,10
grommet/grommet,grommet__grommet-2695,bcde5d660f50359d8e46e33dcfe3bbc8968471ef,,,"Circle meter path animation
Strange animation on the path of a type circle Meter component

### Expected Behavior
Smooth animation when changing the value

### Actual Behavior
![meter](https://user-images.githubusercontent.com/17486011/51508491-b6a57300-1df5-11e9-9d98-0583ae700f65.gif)

There's a ""transition all"" of 300ms on the path of the svg producing this weird animation in Chrome, no animation at all in latests Firefox and Safari.

### URL, screen shot, or Codepen exhibiting the issue
https://codesandbox.io/s/v3y19n8mq3
Click the button!

### Steps to Reproduce
Change the value of a circle Meter

### Your Environment

- Grommet version: 2.3.1
- Browser Name and version: chrome 71.0
- Operating System and version (desktop or mobile): macOS 10.14

",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/17486011/51508491-b6a57300-1df5-11e9-9d98-0583ae700f65.gif""]}",,,,False,2019-01-25 15:47:45+00:00,2019-01-25 15:47:45+00:00,2019,1,2019,1
grommet/grommet,grommet__grommet-6227,f8c7358c43895ac8bb10e91ada33a5356a3adedd,,,"Form was becomes invalid, When dynamically adding and removing required fields 


### Expected Behavior
![CPT2206091235-511x451](https://user-images.githubusercontent.com/30321668/172786398-9c749797-0f0f-479a-b3ae-3231630781b9.gif)

When the checkbox is unselected, a new required TextInput field appears added. Then form was invalid as expected. (As no value entered for new filed).
But when I toggled back the checkbox , the TextInput was removed from , But still the i was getting form was invalid from onValidate method , This is the issue.

I saw the similar issue was closed https://github.com/grommet/grommet/issues/4743 but still am able to reproduce.


### Actual Behavior
When I dynamically removing the field , Then form status should be Valid only if all other validation are fine.



### URL, screen shot, or Codepen exhibiting the issue
https://codesandbox.io/s/form-dynamic-fileds-e57mf5?file=/src/App.js



### Steps to Reproduce

1. See the code sand box and recorded GIF.
2. conditionally show and hide an required field inside a form , check the expected form validation status

### Your Environment



- Grommet version: Latest
- Browser Name and version: Chrome latest
- Operating System and version (desktop or mobile): Window & linux

",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/30321668/172786398-9c749797-0f0f-479a-b3ae-3231630781b9.gif""]}",,,,False,2022-07-01 17:15:04+00:00,2022-07-01 17:15:04+00:00,2022,7,2022,7
grommet/grommet,grommet__grommet-7025,766c675c181beb055a2d3e002d4a6dd42b8f6a3b,,,"Clear Filters control promoted to top level component instead of embedded in Data


### Expected Behavior

From Filtering With Select example: https://design-system.hpe.design/templates/filtering?q=filtering#filtering-with-select, and
Filtering With Layer: https://design-system.hpe.design/templates/filtering?q=filtering#filters-in-a-center-layer
'Clear Filters' button should appear whenever the user interacts with a Data Toolbar component (Filter, Search, etc)

<img width=""702"" alt=""image"" src=""https://user-images.githubusercontent.com/23144209/222529887-8376c322-3d45-4043-817a-95809e335197.png"">
<img width=""953"" alt=""image"" src=""https://user-images.githubusercontent.com/23144209/222529928-c43da507-7baa-4f12-85a1-16474ead8df5.png"">




### Actual Behavior

'Clear Filters' button is missing when the user interacts with the Data Toolbar components as mentioned above.
<img width=""1033"" alt=""image"" src=""https://user-images.githubusercontent.com/23144209/222530191-ca13e16d-6d8c-4d4d-8b81-4c4fabf0211e.png"">
<img width=""1019"" alt=""image"" src=""https://user-images.githubusercontent.com/23144209/222530437-1941e393-accb-4a1f-b217-350a31eb3165.png"">




### URL, screen shot, or Codepen exhibiting the issue



### Steps to Reproduce

1. 2. 3.

### Your Environment



- Grommet version:
- Browser Name and version:
- Operating System and version (desktop or mobile):

",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/23144209/222529887-8376c322-3d45-4043-817a-95809e335197.png"", ""https://user-images.githubusercontent.com/23144209/222529928-c43da507-7baa-4f12-85a1-16474ead8df5.png"", ""https://user-images.githubusercontent.com/23144209/222530191-ca13e16d-6d8c-4d4d-8b81-4c4fabf0211e.png"", ""https://user-images.githubusercontent.com/23144209/222530437-1941e393-accb-4a1f-b217-350a31eb3165.png""]}",,,,False,2023-12-09 03:21:55+00:00,2023-12-09 03:21:55+00:00,2023,12,2023,12
grommet/grommet,grommet__grommet-2061,279b3ec2fa343c4f875a955c35ab9cce5ed063f0,,,"v2 Select search input very small in Safari
In v1, this is solved by adding css `-webkit-appearance: textfield;` for `<input type='search' />`

```
<Select
  value={selected}
  onSearch={() => {}}
  onChange={event => this.setState({selected: event.value})}
  options={options}
/>
```

in safari, padding is ignored :
![screenshot698](https://user-images.githubusercontent.com/6075606/38843188-d0a0325c-41bb-11e8-8357-c686034af89d.jpg)

in chrome:
![screenshot699](https://user-images.githubusercontent.com/6075606/38843203-e689b1b0-41bb-11e8-87ca-5b9c727300e8.jpg)
",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/6075606/38843188-d0a0325c-41bb-11e8-8357-c686034af89d.jpg"", ""https://user-images.githubusercontent.com/6075606/38843203-e689b1b0-41bb-11e8-87ca-5b9c727300e8.jpg""]}",,,,False,2018-06-01 06:58:27+00:00,2018-06-01 06:58:27+00:00,2018,6,2018,6
grommet/grommet,grommet__grommet-6490,739c72f7dfbaf4adfdf26377b3c704a3a3463faa,,,"Box breaks when using border=""between"" and a gap size in pixels
The Box component breaks at runtime when specifying this two properties:
```
border=""between""
gap=""10px"" // or any other size in px
```
which are both legit values according to the docs.

### Expected Behavior

The Box component applies half the value of _gap_ around the separator line.

### Actual Behavior

The Box components throws:
```
TypeError: Cannot read properties of undefined (reading 'match')
```

### URL, screen shot, or Codepen exhibiting the issue

![Screenshot 2022-11-09 at 18 14 51](https://user-images.githubusercontent.com/642896/200898655-3435f323-fe71-4188-a47a-e82d2d51aaad.png)

### Steps to Reproduce

1. Go to https://v2.grommet.io/box
2. Assign `border=""between""` to the Box
3. Assign `gap=""10px""` to the Box
4. Watch for the 💥 

### Your Environment

- Grommet version: 2.11.4, 2.27.0
- Browser Name and version: any (Chrome, Firefox, Safari)
- Operating System and version (desktop or mobile): macOS 12.6

",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/642896/200898655-3435f323-fe71-4188-a47a-e82d2d51aaad.png""]}",,,,False,2022-11-16 05:20:16+00:00,2022-11-16 05:20:16+00:00,2022,11,2022,11
grommet/grommet,grommet__grommet-2124,abcb4f5fed26beab75096f5db131354bfd033bb5,,,"Grommet2 Calendar is broken in ie11


### Expected Behavior

Calendar should display properly in ie11

### Actual Behavior

Calendar does not display properly in ie11

### URL, screen shot, or Codepen exhibiting the issue


<img width=""218"" alt=""screen shot 2018-07-16 at 11 59 18 am"" src=""https://user-images.githubusercontent.com/13810084/42769349-ee82f324-88ef-11e8-83b0-ed03f65cb146.png"">

### Steps to Reproduce
 1. Go to https://v2.grommet.io/calendar in ie11
 2. View the broken calendar

### Your Environment

* Grommet version: NEXT Hash #940ec251d4e7ca60be30dc8a0674a252e32ea6e5
* Browser Name and version: ie11
* Operating System and version (desktop or mobile): Any

",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/13810084/42769349-ee82f324-88ef-11e8-83b0-ed03f65cb146.png""]}",,,,False,2018-07-16 20:34:59+00:00,2018-07-16 20:34:59+00:00,2018,7,2018,7
grommet/grommet,grommet__grommet-6296,6f22bbfb36884a0e3f24887e5c723e4eb72fb7b9,,,"PageHeader heading with long string overflows rather than breaking


### Expected Behavior

Headings containing user generated content are unpredictable and can be quite lengthy. A long string passed as a heading to PageHeader should wrap when it runs out of space.

### Actual Behavior

PageHeader's heading overflows and collides with other content.

### URL, screen shot, or Codepen exhibiting the issue

![Screen Shot 2022-08-23 at 10 50 21 AM](https://user-images.githubusercontent.com/1756948/186218845-832af27f-4045-4636-9cf4-b95cf6f6ec9d.png)

### Steps to Reproduce

1. 2. 3.

### Your Environment



- Grommet version: v2.25.1
- Browser Name and version:
- Operating System and version (desktop or mobile):

",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/1756948/186218845-832af27f-4045-4636-9cf4-b95cf6f6ec9d.png""]}",,,,False,2022-09-06 18:51:44+00:00,2022-09-06 18:51:44+00:00,2022,9,2022,9
grommet/grommet,grommet__grommet-6307,95a5e837390d8e8c057a5619b44761af7e44fad6,,,"DataTable: sorting arrow icon doesn't change in header when using navigation

We store sorting parameters in the URL (so that you can share the URL)

### Expected Behavior

1. Click on the table header to sort (different columns several times):
 - The URL has changed, arrows in the header should be consistent with the new URL info
2. Use browser navigation arrows (back/forward)
 - The URL has changed, arrows in the header should be consistent with the new URL info




### Actual Behavior
1. Click on the table header to sort (different columns several times):
 - The URL has changed, arrows in the header should be consistent with the new URL info
2. Use browser navigation arrows (back/forward)
 - The URL has changed, but there are no changes in the table headers, arrows icon state does not change




### URL, screen shot, or Codepen exhibiting the issue

  -- Here's a Codesandbox template that serves as a nice starting point
  -- for demonstrating an issue: https://codesandbox.io/s/morning-glade-5c6s38?file=/src/App.js

<img width=""469"" alt=""Screenshot 2022-08-14 at 21 44 25"" src=""https://user-images.githubusercontent.com/17574496/184552506-15664064-8455-4cf7-8241-07318442cc40.png"">


- Grommet version: 2.25.1

",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/17574496/184552506-15664064-8455-4cf7-8241-07318442cc40.png""]}",,,,False,2022-08-29 06:56:20+00:00,2022-08-29 06:56:20+00:00,2022,8,2022,8
