instance_id,OpenHands + Claude-Sonnet 4,GUIRepair + o3,Refact.ai Agent,GUIRepair + o4 mini,SWE-agent Multimodal + GPT 4o
grommet__grommet-6282,Yes,Yes,Yes,Yes,Each instance is not recorded
grommet__grommet-6749,No,No,No,No,
grommet__grommet-5243,No,No,No,No,
grommet__grommet-2695,No,No,No,No,
grommet__grommet-6227,No,Yes,Yes,Yes,
grommet__grommet-7025,No,No,No,No,
grommet__grommet-2061,No,No,No,Yes,
grommet__grommet-6490,No,No,No,No,
grommet__grommet-2124,No,No,No,No,
grommet__grommet-6296,No,No,No,No,
grommet__grommet-6307,Yes,Yes,Yes,Yes,
grommet__grommet-6239,No,No,No,No,
grommet__grommet-6438,No,No,No,No,
grommet__grommet-6494,No,No,No,No,
grommet__grommet-6350,No,No,No,No,
grommet__grommet-6293,No,No,No,No,
grommet__grommet-6722,No,Yes,No,No,
grommet__grommet-2131,No,No,No,No,
grommet__grommet-6246,No,Yes,No,No,
grommet__grommet-6600,No,No,No,No,
eslint__eslint-14033,No,No,No,No,
eslint__eslint-11407,No,No,No,Yes,
eslint__eslint-8120,Yes,Yes,Yes,No,
eslint__eslint-9348,No,No,No,No,
eslint__eslint-12652,No,Yes,No,Yes,
eslint__eslint-9436,No,Yes,No,Yes,
eslint__eslint-14242,Yes,Yes,Yes,Yes,
eslint__eslint-17618,Yes,Yes,No,No,
eslint__eslint-12472,No,No,No,Yes,
eslint__eslint-8850,No,No,No,No,
eslint__eslint-15243,Yes,Yes,Yes,Yes,
scratchfoundation__scratch-gui-2778,No,No,No,No,
scratchfoundation__scratch-gui-5039,No,No,No,No,
scratchfoundation__scratch-gui-8891,No,No,No,No,
scratchfoundation__scratch-gui-3342,No,No,No,No,
scratchfoundation__scratch-gui-4568,No,No,No,No,
scratchfoundation__scratch-gui-8492,No,No,No,No,
prettier__prettier-4153,Yes,Yes,Yes,Yes,
prettier__prettier-4115,No,No,Yes,No,
prettier__prettier-4202,No,No,No,No,
prettier__prettier-8536,Yes,No,Yes,Yes,
prettier__prettier-6319,No,No,No,No,
prettier__prettier-16347,Yes,Yes,Yes,No,
prettier__prettier-12177,No,No,No,No,
prettier__prettier-9866,No,No,No,No,
prettier__prettier-14961,No,No,No,No,
prettier__prettier-11884,No,Yes,Yes,Yes,
prettier__prettier-9514,No,No,No,No,
prettier__prettier-14688,No,No,No,No,
prettier__prettier-14262,Yes,Yes,Yes,Yes,
openlayers__openlayers-12393,Yes,Yes,Yes,Yes,
openlayers__openlayers-13226,Yes,Yes,Yes,Yes,
openlayers__openlayers-14483,Yes,Yes,Yes,Yes,
openlayers__openlayers-12141,Yes,Yes,Yes,Yes,
openlayers__openlayers-14619,Yes,Yes,Yes,Yes,
openlayers__openlayers-14414,Yes,Yes,Yes,Yes,
openlayers__openlayers-9083,No,Yes,Yes,Yes,
openlayers__openlayers-13974,Yes,Yes,Yes,Yes,
openlayers__openlayers-11226,Yes,Yes,Yes,Yes,
openlayers__openlayers-13020,Yes,Yes,Yes,Yes,
openlayers__openlayers-12683,Yes,Yes,Yes,Yes,
openlayers__openlayers-10723,Yes,Yes,Yes,Yes,
openlayers__openlayers-10982,No,Yes,Yes,Yes,
openlayers__openlayers-7554,Yes,Yes,Yes,Yes,
openlayers__openlayers-13823,Yes,Yes,Yes,Yes,
openlayers__openlayers-13893,No,No,No,No,
openlayers__openlayers-13198,Yes,Yes,Yes,Yes,
openlayers__openlayers-12172,Yes,Yes,Yes,Yes,
openlayers__openlayers-12695,Yes,Yes,Yes,Yes,
openlayers__openlayers-15234,Yes,Yes,Yes,Yes,
openlayers__openlayers-15484,Yes,Yes,Yes,Yes,
openlayers__openlayers-13069,Yes,Yes,Yes,Yes,
openlayers__openlayers-14066,Yes,Yes,Yes,Yes,
openlayers__openlayers-15796,Yes,Yes,Yes,Yes,
openlayers__openlayers-13333,Yes,Yes,Yes,Yes,
openlayers__openlayers-9389,Yes,Yes,Yes,Yes,
openlayers__openlayers-13150,Yes,Yes,Yes,Yes,
openlayers__openlayers-12965,Yes,Yes,Yes,Yes,
openlayers__openlayers-15365,Yes,Yes,Yes,Yes,
openlayers__openlayers-13013,Yes,Yes,Yes,Yes,
openlayers__openlayers-13269,Yes,Yes,Yes,Yes,
openlayers__openlayers-15787,Yes,Yes,Yes,Yes,
openlayers__openlayers-11649,Yes,Yes,Yes,Yes,
openlayers__openlayers-14627,No,No,No,Yes,
openlayers__openlayers-15614,Yes,Yes,Yes,Yes,
openlayers__openlayers-10340,Yes,Yes,Yes,Yes,
openlayers__openlayers-13975,Yes,Yes,Yes,Yes,
openlayers__openlayers-9307,Yes,Yes,Yes,Yes,
openlayers__openlayers-13509,Yes,Yes,Yes,Yes,
openlayers__openlayers-14659,Yes,Yes,Yes,Yes,
openlayers__openlayers-10694,Yes,Yes,Yes,Yes,
openlayers__openlayers-14015,Yes,Yes,Yes,Yes,
openlayers__openlayers-15466,Yes,Yes,Yes,Yes,
openlayers__openlayers-13648,Yes,Yes,Yes,Yes,
openlayers__openlayers-14051,Yes,Yes,Yes,Yes,
openlayers__openlayers-11088,Yes,Yes,Yes,Yes,
openlayers__openlayers-12373,Yes,Yes,Yes,Yes,
openlayers__openlayers-11401,Yes,Yes,Yes,Yes,
openlayers__openlayers-15114,Yes,Yes,Yes,Yes,
openlayers__openlayers-14599,Yes,Yes,Yes,Yes,
openlayers__openlayers-15825,Yes,Yes,Yes,Yes,
openlayers__openlayers-15685,Yes,Yes,Yes,Yes,
openlayers__openlayers-12467,Yes,Yes,Yes,Yes,
openlayers__openlayers-15168,Yes,Yes,Yes,Yes,
openlayers__openlayers-13669,Yes,Yes,Yes,Yes,
openlayers__openlayers-13212,Yes,Yes,Yes,Yes,
openlayers__openlayers-13981,Yes,Yes,Yes,Yes,
openlayers__openlayers-10545,Yes,Yes,Yes,Yes,
openlayers__openlayers-15271,Yes,Yes,Yes,Yes,
openlayers__openlayers-12194,Yes,Yes,Yes,Yes,
openlayers__openlayers-12962,Yes,Yes,Yes,Yes,
openlayers__openlayers-13155,Yes,Yes,Yes,Yes,
openlayers__openlayers-11047,Yes,Yes,Yes,Yes,
openlayers__openlayers-8515,Yes,Yes,Yes,Yes,
openlayers__openlayers-15683,Yes,Yes,Yes,Yes,
openlayers__openlayers-13654,Yes,Yes,Yes,Yes,
openlayers__openlayers-11377,Yes,Yes,Yes,Yes,
openlayers__openlayers-14945,Yes,Yes,Yes,Yes,
openlayers__openlayers-13119,Yes,Yes,Yes,Yes,
openlayers__openlayers-13860,No,No,No,No,
