repo,instance_id,base_commit,patch,test_patch,problem_statement,hints_text,created_at,image_assets,version,FAIL_TO_PASS,PASS_TO_PASS,resolved,commit_date,author_date,author_year,author_month,commit_year,commit_month
grommet/grommet,grommet__grommet-6282,25f14d68f27a473691742cf37147050c1693cd7d,,,"Data Table sort breaks if a property is null or undefined
### Expected Behavior
Undefined properties should be treated as empty string

### Actual Behavior
When sorting a column, items are not re-ordered as expected if an item in the table has the property set to null or undefined

### URL, screen shot, or Codepen exhibiting the issue
See [Codesandbox](https://codesandbox.io/s/grommet-v2-template-forked-0ytqfb?file=/index.js:1723-1727)

<img width=""1047"" alt=""Screen Shot 2022-08-17 at 9 25 56 AM"" src=""https://user-images.githubusercontent.com/9042104/185192572-2e6dbfec-b56a-4a1a-9576-e65078681da4.png"">


### Steps to Reproduce
On Code sandbox - sort by Parent_id

### Your Environment



- Grommet version: 2.23.0, also reproducible w/ 2.25.1
- Browser Name and version: Chrome Version 104.0.5112.79 (Official Build) (x86_64)
- Operating System and version (desktop or mobile): NA

",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/9042104/185192572-2e6dbfec-b56a-4a1a-9576-e65078681da4.png""]}",,,,True,2022-08-16 23:19:47+00:00,2022-08-16 23:19:47+00:00,2022,8,2022,8
grommet/grommet,grommet__grommet-6307,95a5e837390d8e8c057a5619b44761af7e44fad6,,,"DataTable: sorting arrow icon doesn't change in header when using navigation

We store sorting parameters in the URL (so that you can share the URL)

### Expected Behavior

1. Click on the table header to sort (different columns several times):
 - The URL has changed, arrows in the header should be consistent with the new URL info
2. Use browser navigation arrows (back/forward)
 - The URL has changed, arrows in the header should be consistent with the new URL info




### Actual Behavior
1. Click on the table header to sort (different columns several times):
 - The URL has changed, arrows in the header should be consistent with the new URL info
2. Use browser navigation arrows (back/forward)
 - The URL has changed, but there are no changes in the table headers, arrows icon state does not change




### URL, screen shot, or Codepen exhibiting the issue

  -- Here's a Codesandbox template that serves as a nice starting point
  -- for demonstrating an issue: https://codesandbox.io/s/morning-glade-5c6s38?file=/src/App.js

<img width=""469"" alt=""Screenshot 2022-08-14 at 21 44 25"" src=""https://user-images.githubusercontent.com/17574496/184552506-15664064-8455-4cf7-8241-07318442cc40.png"">


- Grommet version: 2.25.1

",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/17574496/184552506-15664064-8455-4cf7-8241-07318442cc40.png""]}",,,,False,2022-08-29 06:56:20+00:00,2022-08-29 06:56:20+00:00,2022,8,2022,8
eslint/eslint,eslint__eslint-8120,f3a6cedd8e096a45b22fd503878858cd63d81672,,,"no-unused-vars ignoreRestSiblings flag doesn't work inside function arguments
* **ESLint 3.15.0**
* **Node 7.4.0**
* **npm 4.0.5**

**babel-eslint parser**

**Full configuration:**

```
  {
  ""env"": {
    ""browser"": true,
  },
  ""globals"": {
    ""require"": false,
    ""process"": false,
    ""ga"": false,
    ""Promise"": false,
    ""__SSR__"": false,
  },
  ""parser"": ""babel-eslint"",
  ""parserOptions"": {
    ""ecmaFeatures"": {
      ""jsx"": true,
    }
  },
  ""plugins"": [
    ""react"",
    ""import"",
  ],
  ""settings"": {
    ""import/resolver"": {
      ""webpack"": { ""config"": ""webpack-config/dev.js"" },
    },
  },
  ""rules"": {
    ""eol-last"": [""warn"", ""always""],
    ""indent"": [""warn"", 2, { ""SwitchCase"": 1 }],
    ""linebreak-style"": [""warn"", ""unix""],
    ""default-case"": [""warn""],
    ""no-console"": [""warn""],
    ""no-alert"": [""warn""],
    ""no-debugger"": [""warn""],
    ""no-dupe-args"": [""warn""],
    ""no-dupe-keys"": [""warn""],
    ""no-duplicate-case"": [""warn""],
    ""no-empty"": [""warn""],
    ""no-extra-boolean-cast"": [""warn""],
    ""no-extra-parens"": [""warn"", ""functions""],
    ""no-extra-semi"": [""warn""],
    ""no-irregular-whitespace"": [""warn""],
    ""no-multiple-empty-lines"": [""warn"", { ""max"": 2, ""maxEOF"": 1 }],
    ""no-sparse-arrays"": [""warn""],
    ""no-undef"": [""warn""],
    ""no-unexpected-multiline"": [""warn""],
    ""no-unreachable"": [""warn""],
    ""no-unused-vars"": [""warn"", { ""vars"": ""all"", ""args"": ""after-used"", ""ignoreRestSiblings"": true }],
    ""semi"": [""warn"", ""always""],

    ""comma-dangle"": [""warn"", {
      ""arrays"": ""always-multiline"",
      ""objects"": ""always-multiline"",
      ""imports"": ""always-multiline"",
      ""exports"": ""always-multiline"",
      ""functions"": ""always-multiline"",
    }],

    ""react/no-unused-prop-types"": ""warn"",
    ""react/prop-types"": ""warn"",

    ""react/jsx-uses-react"": ""error"",
    ""react/jsx-uses-vars"": ""error"",
    ""react/jsx-space-before-closing"": ""warn"",
    ""react/jsx-no-target-blank"": ""warn"",
    ""react/jsx-no-undef"": ""warn"",

    ""import/no-unresolved"": ""warn"",
    ""import/named"": ""warn"",
    ""import/default"": ""warn"",
    ""import/no-commonjs"": ""warn"",
    ""import/no-nodejs-modules"": ""warn"",

  },
}
```


![eslint](https://cloud.githubusercontent.com/assets/9456433/23164328/63752d16-f858-11e6-9ffe-5ac1b75f3379.png)

`""no-unused-vars"": [""warn"", { ""vars"": ""all"", ""args"": ""after-used"", ""ignoreRestSiblings"": true }],` should disable `no-unused-vars` warn, but it doesn't

no-unused-vars ignoreRestSiblings flag doesn't work inside function arguments
* **ESLint 3.15.0**
* **Node 7.4.0**
* **npm 4.0.5**

**babel-eslint parser**

**Full configuration:**

```
  {
  ""env"": {
    ""browser"": true,
  },
  ""globals"": {
    ""require"": false,
    ""process"": false,
    ""ga"": false,
    ""Promise"": false,
    ""__SSR__"": false,
  },
  ""parser"": ""babel-eslint"",
  ""parserOptions"": {
    ""ecmaFeatures"": {
      ""jsx"": true,
    }
  },
  ""plugins"": [
    ""react"",
    ""import"",
  ],
  ""settings"": {
    ""import/resolver"": {
      ""webpack"": { ""config"": ""webpack-config/dev.js"" },
    },
  },
  ""rules"": {
    ""eol-last"": [""warn"", ""always""],
    ""indent"": [""warn"", 2, { ""SwitchCase"": 1 }],
    ""linebreak-style"": [""warn"", ""unix""],
    ""default-case"": [""warn""],
    ""no-console"": [""warn""],
    ""no-alert"": [""warn""],
    ""no-debugger"": [""warn""],
    ""no-dupe-args"": [""warn""],
    ""no-dupe-keys"": [""warn""],
    ""no-duplicate-case"": [""warn""],
    ""no-empty"": [""warn""],
    ""no-extra-boolean-cast"": [""warn""],
    ""no-extra-parens"": [""warn"", ""functions""],
    ""no-extra-semi"": [""warn""],
    ""no-irregular-whitespace"": [""warn""],
    ""no-multiple-empty-lines"": [""warn"", { ""max"": 2, ""maxEOF"": 1 }],
    ""no-sparse-arrays"": [""warn""],
    ""no-undef"": [""warn""],
    ""no-unexpected-multiline"": [""warn""],
    ""no-unreachable"": [""warn""],
    ""no-unused-vars"": [""warn"", { ""vars"": ""all"", ""args"": ""after-used"", ""ignoreRestSiblings"": true }],
    ""semi"": [""warn"", ""always""],

    ""comma-dangle"": [""warn"", {
      ""arrays"": ""always-multiline"",
      ""objects"": ""always-multiline"",
      ""imports"": ""always-multiline"",
      ""exports"": ""always-multiline"",
      ""functions"": ""always-multiline"",
    }],

    ""react/no-unused-prop-types"": ""warn"",
    ""react/prop-types"": ""warn"",

    ""react/jsx-uses-react"": ""error"",
    ""react/jsx-uses-vars"": ""error"",
    ""react/jsx-space-before-closing"": ""warn"",
    ""react/jsx-no-target-blank"": ""warn"",
    ""react/jsx-no-undef"": ""warn"",

    ""import/no-unresolved"": ""warn"",
    ""import/named"": ""warn"",
    ""import/default"": ""warn"",
    ""import/no-commonjs"": ""warn"",
    ""import/no-nodejs-modules"": ""warn"",

  },
}
```


![eslint](https://cloud.githubusercontent.com/assets/9456433/23164328/63752d16-f858-11e6-9ffe-5ac1b75f3379.png)

`""no-unused-vars"": [""warn"", { ""vars"": ""all"", ""args"": ""after-used"", ""ignoreRestSiblings"": true }],` should disable `no-unused-vars` warn, but it doesn't

",,,"{""problem_statement"": [""https://cloud.githubusercontent.com/assets/9456433/23164328/63752d16-f858-11e6-9ffe-5ac1b75f3379.png"", ""https://cloud.githubusercontent.com/assets/9456433/23164328/63752d16-f858-11e6-9ffe-5ac1b75f3379.png""]}",,,,True,2017-02-20 17:49:07+00:00,2017-02-20 17:49:07+00:00,2017,2,2017,2
eslint/eslint,eslint__eslint-14242,8984c91372e64d1e8dd2ce21b87b80977d57bff9,,,"Using --max-warnings in combination with --quiet should error


**The version of ESLint you are using.**
v7.21.0

**The problem you want to solve.**
Using the `--max-warnings` cli option is useless in combination with `--quiet`. 
I'm running this in 

Note the following, first running without `--quiet`, then with.
![image](https://user-images.githubusercontent.com/9407072/110871764-42790280-82cf-11eb-805a-7049261c3b62.png)

**Your take on the correct solution to problem.**

Ideally: The `--quiet` flag should be overriden when the amount of warnings exceeds `max-warnings`, logging the warnings.
Also acceptable: The exit code should be 1 when `max-warnings` is exceeded.

**Are you willing to submit a pull request to implement this change?**
Not really 😇
",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/9407072/110871764-42790280-82cf-11eb-805a-7049261c3b62.png""]}",,,,True,2021-03-20 12:06:28+00:00,2021-03-20 12:06:28+00:00,2021,3,2021,3
eslint/eslint,eslint__eslint-17618,2665552ba0057e8603f9fbece0fd236f189f5cf3,,,"Code path analysis for (a && b) ?? c



**Tell us about your environment**



* **ESLint Version:** v7.7.0
* **Node Version:** v12.14.0
* **npm Version:** 6.13.4

**What parser (default, `@babel/eslint-parser`, `@typescript-eslint/parser`, etc.) are you using?**

default

**Please show your full configuration:**

<details>
<summary>Configuration</summary>


```js
module.exports = {
  parserOptions: {
    ecmaVersion: 2020
  }
};
```

</details>

**What did you do? Please include the actual source code causing the issue, as well as the command that you used to run ESLint.**


```js
(a && b) ?? c;
```

The rest of the bug report template isn't quite suitable for this issue.

Code path analysis gives the following:

<details>
<summary>DOT</summary>

```dot
digraph {
node[shape=box,style=""rounded,filled"",fillcolor=white];
initial[label="""",shape=circle,style=filled,fillcolor=black,width=0.25,height=0.25];
final[label="""",shape=doublecircle,style=filled,fillcolor=black,width=0.25,height=0.25];
s1_1[label=""Program:enter\nExpressionStatement:enter\nLogicalExpression:enter\nLogicalExpression:enter\nIdentifier (a)""];
s1_2[label=""Identifier (b)\nLogicalExpression:exit""];
s1_3[label=""Identifier (c)""];
s1_4[label=""LogicalExpression:exit\nExpressionStatement:exit\nProgram:exit""];
initial->s1_1->s1_2->s1_3->s1_4;
s1_1->s1_4;
s1_2->s1_4->final;
}
```
</details>

<details>
<summary>Image</summary>

![image](https://user-images.githubusercontent.com/44349756/91108055-31d8a600-e677-11ea-89b8-801b95d2c6af.png)

</details>

This would be correct for `(a || b) ?? c`, but I think it isn't entirely correct for `(a && b) ?? c` since there should be a path from `a` to `c` that doesn't go through `b`:

```js
(null && console.log(""b"")) ?? console.log(""c""); // logs only ""c""
```


Code path analysis for (a && b) ?? c



**Tell us about your environment**



* **ESLint Version:** v7.7.0
* **Node Version:** v12.14.0
* **npm Version:** 6.13.4

**What parser (default, `@babel/eslint-parser`, `@typescript-eslint/parser`, etc.) are you using?**

default

**Please show your full configuration:**

<details>
<summary>Configuration</summary>


```js
module.exports = {
  parserOptions: {
    ecmaVersion: 2020
  }
};
```

</details>

**What did you do? Please include the actual source code causing the issue, as well as the command that you used to run ESLint.**


```js
(a && b) ?? c;
```

The rest of the bug report template isn't quite suitable for this issue.

Code path analysis gives the following:

<details>
<summary>DOT</summary>

```dot
digraph {
node[shape=box,style=""rounded,filled"",fillcolor=white];
initial[label="""",shape=circle,style=filled,fillcolor=black,width=0.25,height=0.25];
final[label="""",shape=doublecircle,style=filled,fillcolor=black,width=0.25,height=0.25];
s1_1[label=""Program:enter\nExpressionStatement:enter\nLogicalExpression:enter\nLogicalExpression:enter\nIdentifier (a)""];
s1_2[label=""Identifier (b)\nLogicalExpression:exit""];
s1_3[label=""Identifier (c)""];
s1_4[label=""LogicalExpression:exit\nExpressionStatement:exit\nProgram:exit""];
initial->s1_1->s1_2->s1_3->s1_4;
s1_1->s1_4;
s1_2->s1_4->final;
}
```
</details>

<details>
<summary>Image</summary>

![image](https://user-images.githubusercontent.com/44349756/91108055-31d8a600-e677-11ea-89b8-801b95d2c6af.png)

</details>

This would be correct for `(a || b) ?? c`, but I think it isn't entirely correct for `(a && b) ?? c` since there should be a path from `a` to `c` that doesn't go through `b`:

```js
(null && console.log(""b"")) ?? console.log(""c""); // logs only ""c""
```


",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/44349756/91108055-31d8a600-e677-11ea-89b8-801b95d2c6af.png"", ""https://user-images.githubusercontent.com/44349756/91108055-31d8a600-e677-11ea-89b8-801b95d2c6af.png""]}",,,,True,2023-10-02 14:58:36+00:00,2023-10-02 14:58:36+00:00,2023,10,2023,10
eslint/eslint,eslint__eslint-15243,796587ad950f6804d60473c2b5998ed3ec71c59e,,,"Change Request: Support async formatter
### ESLint version

8.1.0

### What problem do you want to solve?

Support async formatter

![image](https://user-images.githubusercontent.com/9125255/139874231-870511c8-68cd-42ef-9706-0e13bb3dbebd.png)

[fengzilong/eslint-formatter-mo](https://github.com/fengzilong/eslint-formatter-mo)

I had wrote an eslint formatter with code highlight feature

But it seems the highlighter didn't highlight all tokens well

Recently I want to switch highlighter to [shiki](https://github.com/shikijs/shiki) for a better highlighting result(maybe, I'm trying), but `shiki` has a async highlighter, which is not supported by ESLint currently

### What do you think is the correct solution?

`formatter` can be async function

### Participation

- [X] I am willing to submit a pull request for this change.

### Additional comments

_No response_
",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/9125255/139874231-870511c8-68cd-42ef-9706-0e13bb3dbebd.png""]}",,,,False,2021-11-03 08:26:17+00:00,2021-11-03 08:26:17+00:00,2021,11,2021,11
prettier/prettier,prettier__prettier-4153,e2373206bcb72c1896f4ade48984d4317c1ee72c,,,"Detect fenced code block language when it is followed by attributes
Some flavours of markdown allow for addition attributes in fenced code blocks. These go directly after ```` ```[LANGUAGE]```` and are used to either style the output (e.g. add line numbers) or to execute the code (this is called literate programming). For example, code block attributes are used in [`markdow-preview-enhanced`](https://shd101wyy.github.io/markdown-preview-enhanced/#/code-chunk), which is a plugin for Atom and VSCode. Even without this plugin, Atom and VSCode support adequate syntax highlighting within markdown code blocks even when attributes are present.

<img width=""825"" alt=""screen shot 2018-03-15 at 09 41 11"" src=""https://user-images.githubusercontent.com/608862/37455474-133b946c-2835-11e8-8989-3ee8ee8ae58f.png"">


At the moment Prettier fails to detect code block language if there are any non-whitespace characters following ```` ```[LANGUAGE] ````. It'd be great if this could be fixed – should be easy.

**Prettier 1.11.1**
[Playground link](https://prettier.io/playground/#N4Igxg9gdgLgprEAuEBiVACADgGwIYCWUGAVgM4YBGOEYA1gDpRMAGb5GnTkUZEOcAHQ0A5gApOkhiAAWcHDQwB3CACccAE2mSAlAG5WbJk3SkK1WnWUEYMjHlUiArgFsEMMsahsWHYGBcNAF4oCA04DGEiOABaKFdKOFUyAF9uaD4BYQhxSS5ZeUUVdS0QXQNvIygQABoQCCwYAgzkUAdVCCUABQcEMmQQPAA3CAINWsGyGGQAMzwcMjg6ylU8ejgYAGUsNaIRZBhVJyWQDVpZ+cW6okXVGC7VkRc8C4WT8gAPACFV9a28NwAGWiryu9ScMCwEIATKCTjtkkkBs9VHQzkpqnUsKoiDAAOpjWzIAAcAAYsR1FnjVlgBti4LchnAJqo4ABHJwEVkPPBPF5IOZvOqLFwEA5HE5kPYCACKTgg8DhdRgeEoBI0RKQ0OVqwIOD2AGEIC5ngNQlBmXUnIsACqq-oCy5wFIpIA)

**Input:**
````md
## plain js block

```js   
console.log(     ""hello world""   );
```

## js block with arguments

```js {cmd=node .line-numbers}
console.log(     ""hello world""   );
```
````

**Output:**
````md
## plain js block

```js
console.log(""hello world"");
```

## js block with arguments

```js {cmd=node .line-numbers}
console.log(     ""hello world""   );
```
````

**Expected behavior:**

A code block that starts with ```` ```js {cmd=node .line-numbers}```` gets formatted exactly the same as ```` ```js````. I.e. any text after ```` ```[a-zA-Z0-9_-]* ```` is ignored when a language is being detected.

If you're wondering if a whitespace character must be present before the arguments, I'm not sure. In Atom, ```` ```js{cmd=true}```` keeps the correct syntax highlighting, while in VSCode it breaks.
",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/608862/37455474-133b946c-2835-11e8-8989-3ee8ee8ae58f.png""]}",,,,True,2018-03-13 16:47:48+00:00,2018-03-13 16:47:48+00:00,2018,3,2018,3
prettier/prettier,prettier__prettier-8536,f55960af898af617ba3544ee03c5344abc77e7a0,,,"Directive followed by comment has extra trailing hardline
If your file is only a directive, followed by a new line, followed by a comment, prettier ends the file with two newlines, rather than a single one. This is reproducible with only the babylon parser.

**Prettier 1.10.2**
[Playground link](https://prettier.io/playground/#N4Igxg9gdgLgprEAuEByArgZzgAkzAJwEswZUBuAHSmoHpadIBbJhGakAGhAgAcYi0TMlC9isAOpEAJjAAWyABwAGbjACGAIymyFSAEzdMRKAHMANnACK6CPGQAzdeexqC6ouZOmAwhBbqyCBQ0HBcIJruYADWcDAAyrzqYN7IhOhw3ABWmAAeAEJRsQnqrAAyJmFITi6ZIEkE2ARBmloAnubQ4dhMRGkEGdxYcAAqWsLVzq4gJk0wAArupkyBk7XcBHAAjuhEm4vqy6s102IQ2BLuvEHh6gQEEADu83cIEyDh0hBgjlN16vhfuseOgYLxQfogdgAL7QoA)
```sh
--arrow-parens 
--prose-wrap 
```

**Input:**
```jsx
'use strict';

// comment

```

**Output:**
```jsx
""use strict"";

// comment


```

**Expected behavior:**

Code:
```jsx
'use strict';

// comment
```

![image](https://user-images.githubusercontent.com/1612134/26990368-503f5214-4d24-11e7-8093-d4edabec9830.png)

<details>
<summary>Old details</summary>
I believe the hardline is (in part) coming from 
https://github.com/prettier/prettier/blob/master/src/printer.js#L199

Though I partially wonder if `addAlignmentSize` [trim logic](https://github.com/prettier/prettier/blob/master/index.js#L85) could be expanded for the common case?
</details>
",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/1612134/26990368-503f5214-4d24-11e7-8093-d4edabec9830.png""]}",,,,False,2020-06-09 16:01:27+00:00,2020-06-09 16:01:27+00:00,2020,6,2020,6
prettier/prettier,prettier__prettier-16347,b26f56bd316a3ed11c33f50cd4a3dac44a4ee529,,,"Some empty lines is being removed in markdown YAML frontmatter
**Prettier 3.3.0**
[Playground link](https://prettier.io/playground/#N4Igxg9gdgLgprEAuEBadAdWBLGAbOJAAgCU4BDPIgBQCcIArOMGAZy20imNYAc8IMMAAssEWgBM4tYgEYsYcvADm4gJ5IsRIqiIAROAFsIWLBIhhWmqNt1RyhwkQDqlbFDhbtRKazDEAQSIAZWxDfjgAGhDyADM4IgBhCENHWBC1VnhDADovbQFVYmEYGF4rAHoKgHc3DxyGVhzxZQrCiBzeKGV8ogBXWjxi0vKkKtq8dzgGppaKhAre2jheCGGyyorlXGE+gCMcyEMaurhGk8mPXt5lgDdsOGriCvJWVjg2CrDyZTgLqYavB6UC8dgcTgAXgBrYJqKBgIgAUVo5F6vn8RCCMFofSyBDeRBuggsECoMGESn671YRDAtDUvBgEGUKN4wk4RFubgkuDUhPoEFiNKZ-Ig9ykRD8lHIewIRHIUAkRAE1VQkCyRGxCtY5BY2GgNOgSPJ0jgfUMvXa61GVXMlhy0NYcLAOX1FUdzoA+u1PbLdVCcqxbsDvP1BtbNnamh74a6IIsbN5lqsI2Mtjt9ocUhVDEp4LRUHgZax3VCnfDUNU4HtUNJyKgo9c7g8nkQXm8PiXvr9S+WXQwgaYoKtaDBYqT9VZQUR7I5iIlhAhlCEKd1egMhkQShs0yIl6hWKvlDlHE24PdHqmqnvugejye-iOxxOOuR7rElis1luRpttuTMyOCoAFlsCyaRUAACQgXg-hvZQ7wVBCn3HSYTBBRMwTnJJF26FckPXcMfx3a9cIQw8kIfM8L1bbcbQqeDEO6B8KhQl8cjfbAP0TbRk2-Oi-wzA4gNA8CC2g2CGLIpjkPEZ80KHWVmSnTCZ3BYhgNoHIJLgAByGkACFCjROA-GIZxF2WTVLISMDlWwZQSmiE0rLs4QYM8HjlWZfjfzTQwwPzVB3NgrNjnaQNg0IzcBP8wKIJC6Yjk-FNiPo-9dmE7NRKCnSQPi8SPJyDLM31aiW2eV53k+bs-kMWhEsBYFp1nJxgIgAB2fSiCM5kTLMkIUg+dk8OqaApFoWI+ioOyZQgPoYE1CAt3IXhYKgPIvKtNLNlibACBPTrDjACosiUTg2gAD2ET1tliK6bo62Riq46KrwqJTj2MDrjvmKAE1DPj3pKrLjm+sATt65Rgnm2gwGmf9ysvHa0z2g7vt+nlWChD7Ck9G5zxbT0EE6NcMNsNTsIAcT6CBuuoH5PNDdFiDoRhmEWu1zQQGBzqNBUlSyPoJD5KBBFMy0fOB2nLs4MiciZXg2h80mQ28DdpYgWX4IVmC-pS3ySPTADQYqGmIAADWwBcly2GW5aXF6TbjJHW3baqu1zHtlFpg9UF4Rnaw2rpgXQVAhxASIQBgmB9SgVhkFAchaHoaoGeWePkBAShakySOQD2FEwChD5gnBAAZKZkFiSh3ijwv-VLgOwHcZRkGxPoohAd4AvbnEu7gS7YNoMIecoAAVaR7BH0zq9rrvWFbggAEVafgOe8DrkBGku0JuhXte4A3reAEdD7Z8os9eVAPDgKQJHzrV9tb5JUnIK+8DwfPF-3uAAlKEeewFpwGoNISuHhj5dxKIYPAFlcCmWbnAYICBF6x3uDANQWdLAJyjrcTuABJRUPNgh0mwIyAIipggYIIJAqORJ3jOFZFnAm7xaC3CPlHdwrCYB0B+LmWhIAA60FYVnXMtAoTmGqFAfONx3AwGcNgCQ5JkAAA4AAMUdlhn2wMsXhyh+FIBrpvLuvM9gKKUcIZAAAmKOuI4Dj2LAIowew7733LkhPojMABi4hcylFblfBaEAQAAF8QlAA)

```sh
--parser markdown
```

**Input:**

```markdown
---
title: Real Projects
icon: splotch
order: 1
category:
  - Demo

docs:
  - name: Waline
    desc: A Simple, Safe Comment System.
    logo: https://waline.js.org/logo.png
    url: https://waline.js.org/en/
    repo: https://github.com/walinejs/waline
    preview: /assets/image/waline.jpg

  - name: zkSync Era
    desc: A trustless protocol that uses cryptographic validity proofs to provide scalable and low-cost transactions on Ethereum
    logo: https://docs.zksync.io/zksync_logo_black.svg
    url: https://docs.zksync.io/
    repo: https://github.com/matter-labs/zksync-web-era-docs
    preview: /assets/image/zksync.jpg

portfolios:
  - name: Cheng Shang
    url: https://cheng-shang.me
    preview: https://cheng-shang.me/portfolio.avif
    repo: https://github.com/Mister-Hope/cheng-shang-portfolio

  - name: Cheng Shang
    url: https://cheng-shang.me
    preview: https://cheng-shang.me/portfolio.avif
    repo: https://github.com/Mister-Hope/cheng-shang-portfolio

blogs:
  - name: Mr.Hope's Blog
    desc: Where there is light, there is hope
    logo: https://mister-hope.com/logo.svg
    url: https://mister-hope.com
    repo: https://github.com/Mister-Hope/Mister-Hope.github.io
    preview: /assets/image/mrhope.jpg

  - name: Mo7's Blog
    desc: Something wonderful is about to happen.
    logo: https://file.mo7.cc/static/lxh_gif/lxh_71.gif
    url: https://blog.mo7.cc/en/
    repo: https://github.com/mo7cc/BlogSource.git
    preview: https://file.mo7.cc/disk/blog_preview_en.png

  - name: Guo's Page
    desc: Project documentation and study notes
    logo: https://guoxicheng.top/logo.png
    url: https://guoxicheng.top/en
    repo: https://github.com/GuoXiCheng/guoxicheng.github.io
    preview: /assets/image/guo-s-page-en.png
---


```

**Output:**

```markdown
---
title: Real Projects
icon: splotch
order: 1
category:
  - Demo

docs:
  - name: Waline
    desc: A Simple, Safe Comment System.
    logo: https://waline.js.org/logo.png
    url: https://waline.js.org/en/
    repo: https://github.com/walinejs/waline
    preview: /assets/image/waline.jpg

  - name: zkSync Era
    desc: A trustless protocol that uses cryptographic validity proofs to provide scalable and low-cost transactions on Ethereum
    logo: https://docs.zksync.io/zksync_logo_black.svg
    url: https://docs.zksync.io/
    repo: https://github.com/matter-labs/zksync-web-era-docs
    preview: /assets/image/zksync.jpg

portfolios:
  - name: Cheng Shang
    url: https://cheng-shang.me
    preview: https://cheng-shang.me/portfolio.avif
    repo: https://github.com/Mister-Hope/cheng-shang-portfolio

  - name: Cheng Shang
    url: https://cheng-shang.me
    preview: https://cheng-shang.me/portfolio.avif
    repo: https://github.com/Mister-Hope/cheng-shang-portfolio

blogs:
  - name: Mr.Hope's Blog
    desc: Where there is light, there is hope
    logo: https://mister-hope.com/logo.svg
    url: https://mister-hope.com
    repo: https://github.com/Mister-Hope/Mister-Hope.github.io
    preview: /assets/image/mrhope.jpg
  - name: Mo7's Blog
    desc: Something wonderful is about to happen.
    logo: https://file.mo7.cc/static/lxh_gif/lxh_71.gif
    url: https://blog.mo7.cc/en/
    repo: https://github.com/mo7cc/BlogSource.git
    preview: https://file.mo7.cc/disk/blog_preview_en.png
  - name: Guo's Page
    desc: Project documentation and study notes
    logo: https://guoxicheng.top/logo.png
    url: https://guoxicheng.top/en
    repo: https://github.com/GuoXiCheng/guoxicheng.github.io
    preview: /assets/image/guo-s-page-en.png
---

```

**Expected output:**

Empty lines in `blogs` not being removed


**Why?**

......
",,,"{""problem_statement"": [""https://waline.js.org/logo.png"", ""https://file.mo7.cc/static/lxh_gif/lxh_71.gif"", ""https://file.mo7.cc/disk/blog_preview_en.png"", ""https://guoxicheng.top/logo.png"", ""https://waline.js.org/logo.png"", ""https://file.mo7.cc/static/lxh_gif/lxh_71.gif"", ""https://file.mo7.cc/disk/blog_preview_en.png"", ""https://guoxicheng.top/logo.png""]}",,,,False,2024-06-04 01:39:19+00:00,2024-06-04 01:39:19+00:00,2024,6,2024,6
prettier/prettier,prettier__prettier-14262,37fb53acf33a20379a93bfecea8242c03ce0a4fc,,,"Allow parentheses when JSDoc to allow intellisense
**Prettier 2.8.3**
[Playground link](https://prettier.io/playground/#N4Igxg9gdgLgprEAuEBbCATArgGzgOjgA8AHCAJxgGcACAXhoHoAqZmgASoEMYBLKgGa84tYACU4kchgA8VGOV5QA5gBoa8xSoB8AXxrNGNABTAAOlBo0AFnBw4ISGgEYAzK4Dsqi7oCUAbhBVEAgSPmgqZFAucnIIAHcABRiESJQuHHiuAE9I4IAjci4wAGs4GABlLlQ4ABklOGQBDKo4AqLS8oqSYqVlZAUsNpA4VHy4DAwJ2q4VLC5lOAAxClQePhVkEC4sGAggkGsYVBwAdWteeCoesDgK1MveADdL7K2wKjyQJVbKRKLlGsmi1hgArKhECp9PAARSwEHgwJwrWCPXIvy2+S44xwBxIWhgp14GBg1mQAA4AAyouKtU5FEhbfEiODkJ6NYIAR3h8H+oTS2yoAFooHAJhMDuQ4NzeFL-gsgUhmsjhq1ULwBuQhsEqNC4ABBGAKXj5XZwRKs+qipEokC6lSwnmNJUg4IwbFEklkpAAJjdRV4OD6AGEIKhFSMqABWA5YVoAFWxaWVtqeQwAklAprAKmBFGF9VmKjBsngbXBdLogA)

```sh
--parser babel
```

**Input:**

```jsx
module.exports = /** @satisfies {Record<string, string>} */ ({
  hello: 1337,
});
```

**Output:**

```jsx
module.exports = /** @satisfies {Record<string, string>} */ {
  hello: 1337,
};

```

**Expected behavior:**
Keep those parentheses to not break intellisense.

```jsx
module.exports = /** @satisfies {Record<string, string>} */ ({
  hello: 1337,
});
```

Here is an example of using `@satisfies` jsdoc. https://github.com/microsoft/TypeScript/pull/51753

![prettier](https://user-images.githubusercontent.com/476567/214179620-3f27356b-9ce1-4dc3-96a8-db30a4441391.gif)

",,,"{""problem_statement"": [""https://user-images.githubusercontent.com/476567/214179620-3f27356b-9ce1-4dc3-96a8-db30a4441391.gif""]}",,,,True,2023-01-28 01:23:40+00:00,2023-01-28 01:23:40+00:00,2023,1,2023,1
