name,instance_id,issue_link,problem_statement,image_assets,_from_na
parsa,grommet__grommet-6722,,"NameValuePair alignment
Hello,

I try to align the Name and the value of NameValuePair in column mode like this:
```
 <NameValueList
    valueProps={{ width: ""auto"", align: ""start"" }}
  >
    <NameValuePair name=""File log level"">
        <Select
          options={[
            ""Debug"",
            ""Info"",
            ""Warning"",
            ""Error"",
            ""Panic"",
            ""Fatal"",
          ]}
          // value={value}
          // onChange={({ option }) => setValue(option)}
        />
    </NameValuePair>
  </NameValueList>
```

### Expected Behavior
I want the Name (Text-Element) to be in the same vertical position as the value (see red/green line in the picture).

### Actual Behavior
Right now the label has a different vertial position than the value object. But I want both to be horizontally centered. See example:
![image](https://user-images.githubusercontent.com/21998742/228739835-1090c01d-5ff2-4da0-a481-64fb9d9be17e.png)

### Environment
- Grommet version: https://github.com/grommet/grommet/tarball/stable
- Browser Name and version: Chrome 111.0.5563.147
- Operating System and version (desktop): Windows 7

I would be nice if someone can give me an idea how to solve this.
",https://user-images.githubusercontent.com/21998742/228739835-1090c01d-5ff2-4da0-a481-64fb9d9be17e.png,
daniel,grommet__grommet-6722,,"NameValuePair alignment
Hello,

I try to align the Name and the value of NameValuePair in column mode like this:
```
 <NameValueList
    valueProps={{ width: ""auto"", align: ""start"" }}
  >
    <NameValuePair name=""File log level"">
        <Select
          options={[
            ""Debug"",
            ""Info"",
            ""Warning"",
            ""Error"",
            ""Panic"",
            ""Fatal"",
          ]}
          // value={value}
          // onChange={({ option }) => setValue(option)}
        />
    </NameValuePair>
  </NameValueList>
```

### Expected Behavior
I want the Name (Text-Element) to be in the same vertical position as the value (see red/green line in the picture).

### Actual Behavior
Right now the label has a different vertial position than the value object. But I want both to be horizontally centered. See example:
![image](https://user-images.githubusercontent.com/21998742/228739835-1090c01d-5ff2-4da0-a481-64fb9d9be17e.png)

### Environment
- Grommet version: https://github.com/grommet/grommet/tarball/stable
- Browser Name and version: Chrome 111.0.5563.147
- Operating System and version (desktop): Windows 7

I would be nice if someone can give me an idea how to solve this.
",https://user-images.githubusercontent.com/21998742/228739835-1090c01d-5ff2-4da0-a481-64fb9d9be17e.png,
parsa,grommet__grommet-6246,,"DataChart cannot render bars when data includes a negative value.


DataChart cannot render bars when data includes a negative value.

### Expected Behavior



- If data has some negative value,  the chart will have a zero line guide as default.
- I wish we can custom attributes(colors) of negative value. 

### Actual Behavior



- A chart shows nothing.

### URL, screen shot, or Codepen exhibiting the issue



![スクリーンショット 2022-07-13 12 00 44](https://user-images.githubusercontent.com/11584752/178641638-03acde23-ec87-425f-a8f3-a35375588b60.png)
![スクリーンショット 2022-07-13 12 00 53](https://user-images.githubusercontent.com/11584752/178641641-454424b0-159f-4061-b0c9-a85732eec4ab.png)

### Steps to Reproduce

https://v2.grommet.io/datachart?c=BQSgBAvAfGDeBQYwGMD2A7AzgFzAEwENsDIwBtWfIgUwC4wByAJgAZWBaFgDndYYBowBALaoArumz1eYAL6DKhbHUasO3XgEYBQ0RKlgALAHY5CqsvrM2LTjyZMdI8ZPoBmN3IC6AbkRgAJ2psMQD0MGB-JAAeABEiAgBhAAsCAOwopAsCCFglAllMpExqAIBLakxcsgYlah0GZ30GL0KsrORU9OqirMoABwDUftLsAE8rJskdcZGrABsy9HrBYYJkMvGrYWo8MrFhGeSy5ABrZcxMKwAPTGECefmdIYk8M16kAaGR9InGKewMzGc0Y-VQS0BgjBEKsODSRxO50qV0YOz2BwYcl6rUyAHooP4QH5ZEA

### Your Environment



- Grommet version: 2.4.0
- Browser Name and version: Chrome
- Operating System and version (desktop or mobile): Mac

",https://user-images.githubusercontent.com/11584752/178641638-03acde23-ec87-425f-a8f3-a35375588b60.png,
tan,grommet__grommet-6246,,"DataChart cannot render bars when data includes a negative value.


DataChart cannot render bars when data includes a negative value.

### Expected Behavior



- If data has some negative value,  the chart will have a zero line guide as default.
- I wish we can custom attributes(colors) of negative value. 

### Actual Behavior



- A chart shows nothing.

### URL, screen shot, or Codepen exhibiting the issue



![スクリーンショット 2022-07-13 12 00 44](https://user-images.githubusercontent.com/11584752/178641638-03acde23-ec87-425f-a8f3-a35375588b60.png)
![スクリーンショット 2022-07-13 12 00 53](https://user-images.githubusercontent.com/11584752/178641641-454424b0-159f-4061-b0c9-a85732eec4ab.png)

### Steps to Reproduce

https://v2.grommet.io/datachart?c=BQSgBAvAfGDeBQYwGMD2A7AzgFzAEwENsDIwBtWfIgUwC4wByAJgAZWBaFgDndYYBowBALaoArumz1eYAL6DKhbHUasO3XgEYBQ0RKlgALAHY5CqsvrM2LTjyZMdI8ZPoBmN3IC6AbkRgAJ2psMQD0MGB-JAAeABEiAgBhAAsCAOwopAsCCFglAllMpExqAIBLakxcsgYlah0GZ30GL0KsrORU9OqirMoABwDUftLsAE8rJskdcZGrABsy9HrBYYJkMvGrYWo8MrFhGeSy5ABrZcxMKwAPTGECefmdIYk8M16kAaGR9InGKewMzGc0Y-VQS0BgjBEKsODSRxO50qV0YOz2BwYcl6rUyAHooP4QH5ZEA

### Your Environment



- Grommet version: 2.4.0
- Browser Name and version: Chrome
- Operating System and version (desktop or mobile): Mac

",https://user-images.githubusercontent.com/11584752/178641638-03acde23-ec87-425f-a8f3-a35375588b60.png,
kumar,grommet__grommet-6246,,"DataChart cannot render bars when data includes a negative value.


DataChart cannot render bars when data includes a negative value.

### Expected Behavior



- If data has some negative value,  the chart will have a zero line guide as default.
- I wish we can custom attributes(colors) of negative value. 

### Actual Behavior



- A chart shows nothing.

### URL, screen shot, or Codepen exhibiting the issue



![スクリーンショット 2022-07-13 12 00 44](https://user-images.githubusercontent.com/11584752/178641638-03acde23-ec87-425f-a8f3-a35375588b60.png)
![スクリーンショット 2022-07-13 12 00 53](https://user-images.githubusercontent.com/11584752/178641641-454424b0-159f-4061-b0c9-a85732eec4ab.png)

### Steps to Reproduce

https://v2.grommet.io/datachart?c=BQSgBAvAfGDeBQYwGMD2A7AzgFzAEwENsDIwBtWfIgUwC4wByAJgAZWBaFgDndYYBowBALaoArumz1eYAL6DKhbHUasO3XgEYBQ0RKlgALAHY5CqsvrM2LTjyZMdI8ZPoBmN3IC6AbkRgAJ2psMQD0MGB-JAAeABEiAgBhAAsCAOwopAsCCFglAllMpExqAIBLakxcsgYlah0GZ30GL0KsrORU9OqirMoABwDUftLsAE8rJskdcZGrABsy9HrBYYJkMvGrYWo8MrFhGeSy5ABrZcxMKwAPTGECefmdIYk8M16kAaGR9InGKewMzGc0Y-VQS0BgjBEKsODSRxO50qV0YOz2BwYcl6rUyAHooP4QH5ZEA

### Your Environment



- Grommet version: 2.4.0
- Browser Name and version: Chrome
- Operating System and version (desktop or mobile): Mac

",https://user-images.githubusercontent.com/11584752/178641641-454424b0-159f-4061-b0c9-a85732eec4ab.png,
yaseen,grommet__grommet-6246,,"DataChart cannot render bars when data includes a negative value.


DataChart cannot render bars when data includes a negative value.

### Expected Behavior



- If data has some negative value,  the chart will have a zero line guide as default.
- I wish we can custom attributes(colors) of negative value. 

### Actual Behavior



- A chart shows nothing.

### URL, screen shot, or Codepen exhibiting the issue



![スクリーンショット 2022-07-13 12 00 44](https://user-images.githubusercontent.com/11584752/178641638-03acde23-ec87-425f-a8f3-a35375588b60.png)
![スクリーンショット 2022-07-13 12 00 53](https://user-images.githubusercontent.com/11584752/178641641-454424b0-159f-4061-b0c9-a85732eec4ab.png)

### Steps to Reproduce

https://v2.grommet.io/datachart?c=BQSgBAvAfGDeBQYwGMD2A7AzgFzAEwENsDIwBtWfIgUwC4wByAJgAZWBaFgDndYYBowBALaoArumz1eYAL6DKhbHUasO3XgEYBQ0RKlgALAHY5CqsvrM2LTjyZMdI8ZPoBmN3IC6AbkRgAJ2psMQD0MGB-JAAeABEiAgBhAAsCAOwopAsCCFglAllMpExqAIBLakxcsgYlah0GZ30GL0KsrORU9OqirMoABwDUftLsAE8rJskdcZGrABsy9HrBYYJkMvGrYWo8MrFhGeSy5ABrZcxMKwAPTGECefmdIYk8M16kAaGR9InGKewMzGc0Y-VQS0BgjBEKsODSRxO50qV0YOz2BwYcl6rUyAHooP4QH5ZEA

### Your Environment



- Grommet version: 2.4.0
- Browser Name and version: Chrome
- Operating System and version (desktop or mobile): Mac

",https://user-images.githubusercontent.com/11584752/178641641-454424b0-159f-4061-b0c9-a85732eec4ab.png,
parsa,eslint__eslint-12652,,"key-spacing + align: 'value' + jsx objects becomes ugly sometimes

<img width=""1440"" alt=""screenshot 2019-02-19 at 18 51 23"" src=""https://user-images.githubusercontent.com/6201068/53028310-b097c600-3477-11e9-9fe3-2a222df69e10.png"">

<img width=""1025"" alt=""image"" src=""https://user-images.githubusercontent.com/6201068/53029220-6c0d2a00-3479-11e9-877c-b001a7c6ed44.png"">

**👀 Look at the repo with minimal reproducible example (dependencies, config, source):** https://github.com/a-x-/eslint-align-check

<br/><br/>

----

<br/><br/>

**environment**

* **ESLint Version:** latest (5.13.0)
* **Node Version:** latest (11.9.0)
* **npm Version:** latest (6.8.0)

**parser**: Babel-ESLint 

**minimal configuration:** (full config has no sense never : )

```js
{
  ""plugins"": [
    ""react"",
  ],
  ""rules"": {
    ""key-spacing"": [""warn"", {
      ""multiLine"": {""align"": ""value""},
    }],
    // some related a bit rules
    ""object-curly-newline"": [""warn"", { ""multiline"": true, ""minProperties"": 5 }],
    ""object-property-newline"": [""warn"", {""allowAllPropertiesOnSameLine"": true }],
    ""object-curly-spacing"": [""warn"", ""always"", {
      ""arraysInObjects"": false,
      ""objectsInObjects"": false,
    }],
    // ...
  },
}
```

**source and command**

<details><summary>source before eslint --fix ran</summary>

```jsx
function Component () {
      return <div>
        <span style={{ display: 'inline-block', marginRight: '10px' }}>
          <Fa
            icon={ d.icon }
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ d.title }</span>
        </span>
        <span>
          <Fa
            icon=""location-arrow""
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ this.state.info?.device.app_version }</span>
          <br />
          <span style={{ color: '#999999' }} title=""Когда последний раз делал что-то в приложении"">
            { this.state.info?.device.last_request_at }
          </span>
        </span>
      </div>;
}
```

</details>

```bash
eslint --fix file.jsx
```

**Expected:** don't re-align objects in jsx curlies.


**PR?** I'm not sure, maybe I can.

key-spacing + align: 'value' + jsx objects becomes ugly sometimes

<img width=""1440"" alt=""screenshot 2019-02-19 at 18 51 23"" src=""https://user-images.githubusercontent.com/6201068/53028310-b097c600-3477-11e9-9fe3-2a222df69e10.png"">

<img width=""1025"" alt=""image"" src=""https://user-images.githubusercontent.com/6201068/53029220-6c0d2a00-3479-11e9-877c-b001a7c6ed44.png"">

**👀 Look at the repo with minimal reproducible example (dependencies, config, source):** https://github.com/a-x-/eslint-align-check

<br/><br/>

----

<br/><br/>

**environment**

* **ESLint Version:** latest (5.13.0)
* **Node Version:** latest (11.9.0)
* **npm Version:** latest (6.8.0)

**parser**: Babel-ESLint 

**minimal configuration:** (full config has no sense never : )

```js
{
  ""plugins"": [
    ""react"",
  ],
  ""rules"": {
    ""key-spacing"": [""warn"", {
      ""multiLine"": {""align"": ""value""},
    }],
    // some related a bit rules
    ""object-curly-newline"": [""warn"", { ""multiline"": true, ""minProperties"": 5 }],
    ""object-property-newline"": [""warn"", {""allowAllPropertiesOnSameLine"": true }],
    ""object-curly-spacing"": [""warn"", ""always"", {
      ""arraysInObjects"": false,
      ""objectsInObjects"": false,
    }],
    // ...
  },
}
```

**source and command**

<details><summary>source before eslint --fix ran</summary>

```jsx
function Component () {
      return <div>
        <span style={{ display: 'inline-block', marginRight: '10px' }}>
          <Fa
            icon={ d.icon }
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ d.title }</span>
        </span>
        <span>
          <Fa
            icon=""location-arrow""
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ this.state.info?.device.app_version }</span>
          <br />
          <span style={{ color: '#999999' }} title=""Когда последний раз делал что-то в приложении"">
            { this.state.info?.device.last_request_at }
          </span>
        </span>
      </div>;
}
```

</details>

```bash
eslint --fix file.jsx
```

**Expected:** don't re-align objects in jsx curlies.


**PR?** I'm not sure, maybe I can.

",https://user-images.githubusercontent.com/6201068/53028310-b097c600-3477-11e9-9fe3-2a222df69e10.png,
daniel,eslint__eslint-12652,,"key-spacing + align: 'value' + jsx objects becomes ugly sometimes

<img width=""1440"" alt=""screenshot 2019-02-19 at 18 51 23"" src=""https://user-images.githubusercontent.com/6201068/53028310-b097c600-3477-11e9-9fe3-2a222df69e10.png"">

<img width=""1025"" alt=""image"" src=""https://user-images.githubusercontent.com/6201068/53029220-6c0d2a00-3479-11e9-877c-b001a7c6ed44.png"">

**👀 Look at the repo with minimal reproducible example (dependencies, config, source):** https://github.com/a-x-/eslint-align-check

<br/><br/>

----

<br/><br/>

**environment**

* **ESLint Version:** latest (5.13.0)
* **Node Version:** latest (11.9.0)
* **npm Version:** latest (6.8.0)

**parser**: Babel-ESLint 

**minimal configuration:** (full config has no sense never : )

```js
{
  ""plugins"": [
    ""react"",
  ],
  ""rules"": {
    ""key-spacing"": [""warn"", {
      ""multiLine"": {""align"": ""value""},
    }],
    // some related a bit rules
    ""object-curly-newline"": [""warn"", { ""multiline"": true, ""minProperties"": 5 }],
    ""object-property-newline"": [""warn"", {""allowAllPropertiesOnSameLine"": true }],
    ""object-curly-spacing"": [""warn"", ""always"", {
      ""arraysInObjects"": false,
      ""objectsInObjects"": false,
    }],
    // ...
  },
}
```

**source and command**

<details><summary>source before eslint --fix ran</summary>

```jsx
function Component () {
      return <div>
        <span style={{ display: 'inline-block', marginRight: '10px' }}>
          <Fa
            icon={ d.icon }
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ d.title }</span>
        </span>
        <span>
          <Fa
            icon=""location-arrow""
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ this.state.info?.device.app_version }</span>
          <br />
          <span style={{ color: '#999999' }} title=""Когда последний раз делал что-то в приложении"">
            { this.state.info?.device.last_request_at }
          </span>
        </span>
      </div>;
}
```

</details>

```bash
eslint --fix file.jsx
```

**Expected:** don't re-align objects in jsx curlies.


**PR?** I'm not sure, maybe I can.

key-spacing + align: 'value' + jsx objects becomes ugly sometimes

<img width=""1440"" alt=""screenshot 2019-02-19 at 18 51 23"" src=""https://user-images.githubusercontent.com/6201068/53028310-b097c600-3477-11e9-9fe3-2a222df69e10.png"">

<img width=""1025"" alt=""image"" src=""https://user-images.githubusercontent.com/6201068/53029220-6c0d2a00-3479-11e9-877c-b001a7c6ed44.png"">

**👀 Look at the repo with minimal reproducible example (dependencies, config, source):** https://github.com/a-x-/eslint-align-check

<br/><br/>

----

<br/><br/>

**environment**

* **ESLint Version:** latest (5.13.0)
* **Node Version:** latest (11.9.0)
* **npm Version:** latest (6.8.0)

**parser**: Babel-ESLint 

**minimal configuration:** (full config has no sense never : )

```js
{
  ""plugins"": [
    ""react"",
  ],
  ""rules"": {
    ""key-spacing"": [""warn"", {
      ""multiLine"": {""align"": ""value""},
    }],
    // some related a bit rules
    ""object-curly-newline"": [""warn"", { ""multiline"": true, ""minProperties"": 5 }],
    ""object-property-newline"": [""warn"", {""allowAllPropertiesOnSameLine"": true }],
    ""object-curly-spacing"": [""warn"", ""always"", {
      ""arraysInObjects"": false,
      ""objectsInObjects"": false,
    }],
    // ...
  },
}
```

**source and command**

<details><summary>source before eslint --fix ran</summary>

```jsx
function Component () {
      return <div>
        <span style={{ display: 'inline-block', marginRight: '10px' }}>
          <Fa
            icon={ d.icon }
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ d.title }</span>
        </span>
        <span>
          <Fa
            icon=""location-arrow""
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ this.state.info?.device.app_version }</span>
          <br />
          <span style={{ color: '#999999' }} title=""Когда последний раз делал что-то в приложении"">
            { this.state.info?.device.last_request_at }
          </span>
        </span>
      </div>;
}
```

</details>

```bash
eslint --fix file.jsx
```

**Expected:** don't re-align objects in jsx curlies.


**PR?** I'm not sure, maybe I can.

",https://user-images.githubusercontent.com/6201068/53028310-b097c600-3477-11e9-9fe3-2a222df69e10.png,
kumar,eslint__eslint-12652,,"key-spacing + align: 'value' + jsx objects becomes ugly sometimes

<img width=""1440"" alt=""screenshot 2019-02-19 at 18 51 23"" src=""https://user-images.githubusercontent.com/6201068/53028310-b097c600-3477-11e9-9fe3-2a222df69e10.png"">

<img width=""1025"" alt=""image"" src=""https://user-images.githubusercontent.com/6201068/53029220-6c0d2a00-3479-11e9-877c-b001a7c6ed44.png"">

**👀 Look at the repo with minimal reproducible example (dependencies, config, source):** https://github.com/a-x-/eslint-align-check

<br/><br/>

----

<br/><br/>

**environment**

* **ESLint Version:** latest (5.13.0)
* **Node Version:** latest (11.9.0)
* **npm Version:** latest (6.8.0)

**parser**: Babel-ESLint 

**minimal configuration:** (full config has no sense never : )

```js
{
  ""plugins"": [
    ""react"",
  ],
  ""rules"": {
    ""key-spacing"": [""warn"", {
      ""multiLine"": {""align"": ""value""},
    }],
    // some related a bit rules
    ""object-curly-newline"": [""warn"", { ""multiline"": true, ""minProperties"": 5 }],
    ""object-property-newline"": [""warn"", {""allowAllPropertiesOnSameLine"": true }],
    ""object-curly-spacing"": [""warn"", ""always"", {
      ""arraysInObjects"": false,
      ""objectsInObjects"": false,
    }],
    // ...
  },
}
```

**source and command**

<details><summary>source before eslint --fix ran</summary>

```jsx
function Component () {
      return <div>
        <span style={{ display: 'inline-block', marginRight: '10px' }}>
          <Fa
            icon={ d.icon }
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ d.title }</span>
        </span>
        <span>
          <Fa
            icon=""location-arrow""
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ this.state.info?.device.app_version }</span>
          <br />
          <span style={{ color: '#999999' }} title=""Когда последний раз делал что-то в приложении"">
            { this.state.info?.device.last_request_at }
          </span>
        </span>
      </div>;
}
```

</details>

```bash
eslint --fix file.jsx
```

**Expected:** don't re-align objects in jsx curlies.


**PR?** I'm not sure, maybe I can.

key-spacing + align: 'value' + jsx objects becomes ugly sometimes

<img width=""1440"" alt=""screenshot 2019-02-19 at 18 51 23"" src=""https://user-images.githubusercontent.com/6201068/53028310-b097c600-3477-11e9-9fe3-2a222df69e10.png"">

<img width=""1025"" alt=""image"" src=""https://user-images.githubusercontent.com/6201068/53029220-6c0d2a00-3479-11e9-877c-b001a7c6ed44.png"">

**👀 Look at the repo with minimal reproducible example (dependencies, config, source):** https://github.com/a-x-/eslint-align-check

<br/><br/>

----

<br/><br/>

**environment**

* **ESLint Version:** latest (5.13.0)
* **Node Version:** latest (11.9.0)
* **npm Version:** latest (6.8.0)

**parser**: Babel-ESLint 

**minimal configuration:** (full config has no sense never : )

```js
{
  ""plugins"": [
    ""react"",
  ],
  ""rules"": {
    ""key-spacing"": [""warn"", {
      ""multiLine"": {""align"": ""value""},
    }],
    // some related a bit rules
    ""object-curly-newline"": [""warn"", { ""multiline"": true, ""minProperties"": 5 }],
    ""object-property-newline"": [""warn"", {""allowAllPropertiesOnSameLine"": true }],
    ""object-curly-spacing"": [""warn"", ""always"", {
      ""arraysInObjects"": false,
      ""objectsInObjects"": false,
    }],
    // ...
  },
}
```

**source and command**

<details><summary>source before eslint --fix ran</summary>

```jsx
function Component () {
      return <div>
        <span style={{ display: 'inline-block', marginRight: '10px' }}>
          <Fa
            icon={ d.icon }
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ d.title }</span>
        </span>
        <span>
          <Fa
            icon=""location-arrow""
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ this.state.info?.device.app_version }</span>
          <br />
          <span style={{ color: '#999999' }} title=""Когда последний раз делал что-то в приложении"">
            { this.state.info?.device.last_request_at }
          </span>
        </span>
      </div>;
}
```

</details>

```bash
eslint --fix file.jsx
```

**Expected:** don't re-align objects in jsx curlies.


**PR?** I'm not sure, maybe I can.

",https://user-images.githubusercontent.com/6201068/53029220-6c0d2a00-3479-11e9-877c-b001a7c6ed44.png,
yaseen,eslint__eslint-12652,,"key-spacing + align: 'value' + jsx objects becomes ugly sometimes

<img width=""1440"" alt=""screenshot 2019-02-19 at 18 51 23"" src=""https://user-images.githubusercontent.com/6201068/53028310-b097c600-3477-11e9-9fe3-2a222df69e10.png"">

<img width=""1025"" alt=""image"" src=""https://user-images.githubusercontent.com/6201068/53029220-6c0d2a00-3479-11e9-877c-b001a7c6ed44.png"">

**👀 Look at the repo with minimal reproducible example (dependencies, config, source):** https://github.com/a-x-/eslint-align-check

<br/><br/>

----

<br/><br/>

**environment**

* **ESLint Version:** latest (5.13.0)
* **Node Version:** latest (11.9.0)
* **npm Version:** latest (6.8.0)

**parser**: Babel-ESLint 

**minimal configuration:** (full config has no sense never : )

```js
{
  ""plugins"": [
    ""react"",
  ],
  ""rules"": {
    ""key-spacing"": [""warn"", {
      ""multiLine"": {""align"": ""value""},
    }],
    // some related a bit rules
    ""object-curly-newline"": [""warn"", { ""multiline"": true, ""minProperties"": 5 }],
    ""object-property-newline"": [""warn"", {""allowAllPropertiesOnSameLine"": true }],
    ""object-curly-spacing"": [""warn"", ""always"", {
      ""arraysInObjects"": false,
      ""objectsInObjects"": false,
    }],
    // ...
  },
}
```

**source and command**

<details><summary>source before eslint --fix ran</summary>

```jsx
function Component () {
      return <div>
        <span style={{ display: 'inline-block', marginRight: '10px' }}>
          <Fa
            icon={ d.icon }
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ d.title }</span>
        </span>
        <span>
          <Fa
            icon=""location-arrow""
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ this.state.info?.device.app_version }</span>
          <br />
          <span style={{ color: '#999999' }} title=""Когда последний раз делал что-то в приложении"">
            { this.state.info?.device.last_request_at }
          </span>
        </span>
      </div>;
}
```

</details>

```bash
eslint --fix file.jsx
```

**Expected:** don't re-align objects in jsx curlies.


**PR?** I'm not sure, maybe I can.

key-spacing + align: 'value' + jsx objects becomes ugly sometimes

<img width=""1440"" alt=""screenshot 2019-02-19 at 18 51 23"" src=""https://user-images.githubusercontent.com/6201068/53028310-b097c600-3477-11e9-9fe3-2a222df69e10.png"">

<img width=""1025"" alt=""image"" src=""https://user-images.githubusercontent.com/6201068/53029220-6c0d2a00-3479-11e9-877c-b001a7c6ed44.png"">

**👀 Look at the repo with minimal reproducible example (dependencies, config, source):** https://github.com/a-x-/eslint-align-check

<br/><br/>

----

<br/><br/>

**environment**

* **ESLint Version:** latest (5.13.0)
* **Node Version:** latest (11.9.0)
* **npm Version:** latest (6.8.0)

**parser**: Babel-ESLint 

**minimal configuration:** (full config has no sense never : )

```js
{
  ""plugins"": [
    ""react"",
  ],
  ""rules"": {
    ""key-spacing"": [""warn"", {
      ""multiLine"": {""align"": ""value""},
    }],
    // some related a bit rules
    ""object-curly-newline"": [""warn"", { ""multiline"": true, ""minProperties"": 5 }],
    ""object-property-newline"": [""warn"", {""allowAllPropertiesOnSameLine"": true }],
    ""object-curly-spacing"": [""warn"", ""always"", {
      ""arraysInObjects"": false,
      ""objectsInObjects"": false,
    }],
    // ...
  },
}
```

**source and command**

<details><summary>source before eslint --fix ran</summary>

```jsx
function Component () {
      return <div>
        <span style={{ display: 'inline-block', marginRight: '10px' }}>
          <Fa
            icon={ d.icon }
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ d.title }</span>
        </span>
        <span>
          <Fa
            icon=""location-arrow""
            style={{ marginRight: '4px', color: '#0C090A', opacity: '0.6', fontSize: '18px', verticalAlign: 'middle' }}
          />
          <span style={{ verticalAlign: 'bottom' }}>{ this.state.info?.device.app_version }</span>
          <br />
          <span style={{ color: '#999999' }} title=""Когда последний раз делал что-то в приложении"">
            { this.state.info?.device.last_request_at }
          </span>
        </span>
      </div>;
}
```

</details>

```bash
eslint --fix file.jsx
```

**Expected:** don't re-align objects in jsx curlies.


**PR?** I'm not sure, maybe I can.

",https://user-images.githubusercontent.com/6201068/53029220-6c0d2a00-3479-11e9-877c-b001a7c6ed44.png,
