instance_id,issue_link,problem_statement,issue_category,image_assets,image_category_1,image_category_2,name
bpmn-io__bpmn-js-2024,https://github.com/bpmn-io/bpmn-js/issues/57,"Correctly render pool / lane labels in vertical collaboration
__Describe the issue__

Vertical pools is a feature request we see once in a while. It is also part of [the MIWG test suite, case `A.4.1`](https://github.com/bpmn-io/bpmn-miwg-test-suite/blob/master/Reference/A.4.1.bpmn) specifically.

We do not account for pool direction when rendering it, resulting in such diagrams: 

![a 4 1-import](https://cloud.githubusercontent.com/assets/58601/3065031/515d5064-e25c-11e3-9c7b-70e2ea822434.png)

Properly supporting vertical pools does require modeling support (https://github.com/bpmn-io/bpmn-js/issues/507), too.

__Additional Details__

A pool is marked as vertical via the `isHorizontal=""false""` property in the element's DI:

```xml
         <bpmndi:BPMNShape bpmnElement=""sid-66751F1E-EEB9-4BA7-9FDA-7965A1CA9CD1"" id=""sid-66751F1E-EEB9-4BA7-9FDA-7965A1CA9CD1_gui"" isHorizontal=""false"">
            <omgdc:Bounds height=""678.5"" width=""190.00000000000003"" x=""214.2857142857143"" y=""72.5""/>
            <bpmndi:BPMNLabel labelStyle=""sid-ae9a9300-bd5c-4531-84ab-5f0791d9f49f"">
               <omgdc:Bounds height=""12.0"" width=""36.857147216796875"" x=""290.8571406773159"" y=""78.5""/>
            </bpmndi:BPMNLabel>
         </bpmndi:BPMNShape>
```

---

See [reference image](https://github.com/bpmn-io/bpmn-miwg-test-suite/blob/master/Reference/A.4.1.png) for the picture above.
",[1.1 Incomplete Data Processing],"['https://cloud.githubusercontent.com/assets/58601/3065031/515d5064-e25c-11e3-9c7b-70e2ea822434.png', 'https://github.com/bpmn-io/bpmn-miwg-test-suite/blob/master/Reference/A.4.1.png']",Diagram,Program Output,daniel
bpmn-io__bpmn-js-1200,https://github.com/bpmn-io/bpmn-js/issues/1199,"""Timer Intermediate Catch Event"" removes ""conditionExpression"" from sequence flows
__Describe the Bug__

Drop an intermediate event on a sequence flow that has a condition type of expression (with a value set). Changing event into a ""Timer Intermediate Catch Event"" removes expression from sequence flow.

Similar to [#1197 ](url).


__Steps to Reproduce__

See attached GIF.
![expression removed](https://user-images.githubusercontent.com/8074799/65552698-bc77c900-df2d-11e9-9327-c9e8ed50a64d.gif)


__Expected Behavior__

Don't remove expression from sequence flow.


__Environment__

 - Browser: Chrome Version 76.0.3809.132 (Official Build) (64-bit)
 - Library version: 5.0.4

",[2.1 Incorrect Data Processing],['https://user-images.githubusercontent.com/8074799/65552698-bc77c900-df2d-11e9-9327-c9e8ed50a64d.gif'],Code Snippet Screenshot,Steps and Processes,daniel
bpmn-io__bpmn-js-1610,https://github.com/bpmn-io/bpmn-js/issues/1609,"Direct editing in sub-process plane stays open after navigation
__Describe the Bug__

When I switch planes with direct editing active the editing box remains open (despite the element not being visible anymore).

![capture vuQ6Mm_optimized](https://user-images.githubusercontent.com/58601/155515880-d0f6feb4-6380-4c64-a709-7819926e17b4.gif)


__Steps to Reproduce__

1. Open [test diagram](https://github.com/bpmn-io/bpmn-js/files/8132113/direct-editing.bpmn.txt)
2. Direct edit inside plane
3. Switch to other plane
4. __See that direct editing remains open__


__Expected Behavior__

Direct editing is canceled on plane switch.

__Environment__

 - Browser: Chrome
 - OS: Linux
 - Library version: v9.0.1 (demo.bpmn.io)

",[1.3 Error Handling],['https://user-images.githubusercontent.com/58601/155515880-d0f6feb4-6380-4c64-a709-7819926e17b4.gif'],Diagram,Program Output,daniel
bpmn-io__bpmn-js-1578,https://github.com/bpmn-io/bpmn-js/issues/1555,"Error when copy Pool
__Describe the Bug__

Duplicate Pool id when copy Pool

__Expected Behavior__

1. Create Pool with Task inside Pool
2. Copy Pool and paste
3. Export
4. Import file was exported

![fail](https://user-images.githubusercontent.com/15230555/147228024-18c202f6-9b3f-4128-8469-1ce583273a3c.gif)

```xml
<bpmn:process id=""Process_17iojvx"" isExecutable=""false"">
    <bpmn:task id=""Activity_0mkgwx2"" />
  </bpmn:process>
  <bpmn:process id=""Process_17iojvx"" isExecutable=""false"">
    <bpmn:task id=""Activity_1xz8h8p"" />
</bpmn:process>
```

__Environment__

 - Browser: [Chrome]
 - OS: [Windows 10]

",[2.1 Incorrect Data Processing],['https://user-images.githubusercontent.com/15230555/147228024-18c202f6-9b3f-4128-8469-1ce583273a3c.gif'],Web Interface (UI/UX Element),Run Time Error,daniel
bpmn-io__bpmn-js-1584,https://github.com/bpmn-io/bpmn-js/issues/1508,"Inconsistent redo behaviour when recreating the first participant in the model
__Describe the Bug__

When adding a first participant/pool into the model, the ID of the process element does not change. If I undo this action, the participant gets removed and the ID of the process still stays the same as expected. However, when I redo this undo (re-add the participant), the id of the process is different this time. 
Note: note sure if this is also a bug, but when I remove the participant via delete (removing the only participant in the model), the id of the process also changes. 

__Steps to Reproduce__

- Start with a fresh model, the process has id Process_1
- Add the first participant, the process still has id Process_1
- Undo the action. The participant gets removed and the process still has id Process_1
- Redo the undo. The first participant gets re-added, however the process now has a different id



__Expected Behavior__

I would have expected the redo action to bring the model into the same state as before, not modifying the id of the process. 

I would have also expected the ""id transfer"" to work both ways. The process id is typically kept the same when the first participant is added (except for the mentioned edge case). This is however not the case when removing the last participant in the model using the delete functionality (not an undo), as the id of the process changes. 

__Environment__

 - Browser: Chrome 90
 - OS: Windows 10
 - Library version: 7.3.0

Error when copy Pool
__Describe the Bug__

Duplicate Pool id when copy Pool

__Expected Behavior__

1. Create Pool with Task inside Pool
2. Copy Pool and paste
3. Export
4. Import file was exported

![fail](https://user-images.githubusercontent.com/15230555/147228024-18c202f6-9b3f-4128-8469-1ce583273a3c.gif)

```xml
<bpmn:process id=""Process_17iojvx"" isExecutable=""false"">
    <bpmn:task id=""Activity_0mkgwx2"" />
  </bpmn:process>
  <bpmn:process id=""Process_17iojvx"" isExecutable=""false"">
    <bpmn:task id=""Activity_1xz8h8p"" />
</bpmn:process>
```

__Environment__

 - Browser: [Chrome]
 - OS: [Windows 10]

",[1.2.3 Missing Null Check],['https://user-images.githubusercontent.com/15230555/147228024-18c202f6-9b3f-4128-8469-1ce583273a3c.gif'],Web Interface (UI/UX Element),Run Time Error,daniel
bpmn-io__bpmn-js-1083,https://github.com/bpmn-io/bpmn-js/issues/1081,"Docking Snapping gone
__Describe the Bug__

In `v3.x` we snapped connected elements on their docking points:

![snap-docking-works](https://user-images.githubusercontent.com/58601/59529953-a72ce080-8ee2-11e9-9a46-6fb9ef981724.gif)

This no longer works in `v4-beta`:

![snap-docking-no-works](https://user-images.githubusercontent.com/58601/59529974-b449cf80-8ee2-11e9-88c4-2c52f0c0f122.gif)


__Steps to Reproduce__

* Open [test diagram](https://github.com/bpmn-io/bpmn-js/files/3291778/snap.bpmn.txt)
* Move event
* __Observe target snapping gone__

Can be reproduced on demo, too.


__Expected Behavior__

`v3.x` behavior is restored.

__Environment__

 - Browser: Any
 - OS: Any
 - Library version: 4.0.0-beta.1
",[2.2 Incorrect Input Validation],"['https://user-images.githubusercontent.com/58601/59529953-a72ce080-8ee2-11e9-9a46-6fb9ef981724.gif', 'https://user-images.githubusercontent.com/58601/59529974-b449cf80-8ee2-11e9-88c4-2c52f0c0f122.gif']",Diagram,Program Output,daniel
bpmn-io__bpmn-js-1928,https://github.com/bpmn-io/bpmn-js/issues/1769,"Space tool resizes empty pool vertically
__Describe the Bug__

An empty pool has a dedicated, fixed height shape to distinguish it from lanes / expanded pools. Using the space tool it gets resized however:

![capture SiJdcQ_optimized](https://user-images.githubusercontent.com/58601/201333134-d400f316-8fa1-4de2-a48a-d10d1a7938bf.gif)


__Steps to Reproduce__

1. Model an empty pool
2. Use space tool on top of empty pool

(Can be reproduced on https://demo.bpmn.io/s/application-processing).


__Expected Behavior__

Empty pool does not resize (vertically).


__Environment__

 - Browser: Any
 - OS: Any
 - Library version: v10.x, https://demo.bpmn.io
",[1.1 Incomplete Data Processing],['https://user-images.githubusercontent.com/58601/201333134-d400f316-8fa1-4de2-a48a-d10d1a7938bf.gif'],Diagram,Program Output,daniel
bpmn-io__bpmn-js-1659,https://github.com/bpmn-io/bpmn-js/issues/1658,"Labels and associations don't reconnect to SequenceFlow after resize
__Describe the Bug__

When a Conneciton is re-laidout after a connected shape is resized, Labels and Associations are not moved with it.

![Recording 2022-05-20 at 12 33 35](https://user-images.githubusercontent.com/21984219/169510262-f80040f3-b078-481b-b62b-a934ca55b106.gif)


__Steps to Reproduce__

1. Create a Connection with many waypoints, connected to a expanded sub-process
2. Create some Bendpoints and add Text annotation or label to it
3. Resize the Subprocess
4. Connection and label left hanging



__Expected Behavior__

Label and Association are moved with it

__Environment__

 - Browser: Chrome 101
 - OS: Ubuntu
 - Library version: dev

",[4 Perfective Maintenance],['https://user-images.githubusercontent.com/21984219/169510262-f80040f3-b078-481b-b62b-a934ca55b106.gif'],Diagram,Algorithm/Concept Description,daniel
bpmn-io__bpmn-js-1802,https://github.com/bpmn-io/bpmn-js/issues/1801,"Add append to contextPad
__What should we do?__

Add a ""append anything"" entry to the palette which provides a menu with all possible elements.

What it should look like:
<img src=""https://user-images.githubusercontent.com/25825387/210820799-c3751f4d-5b98-4121-9373-2339db0d1e16.png"" width=""400""/>

 __To do:__
- [ ] Add entry to context pad 
- [ ] Add append menu entries provider

__Why should we do it?__

To support create anything, see https://github.com/bpmn-io/bpmn-js/issues/1627
",[1.1 Incomplete Data Processing],['https://user-images.githubusercontent.com/25825387/210820799-c3751f4d-5b98-4121-9373-2339db0d1e16.png'],Diagram,Program Output,daniel
bpmn-io__bpmn-js-1172,https://github.com/bpmn-io/bpmn-js/issues/1170,"Boundary event associations can be created but can't be loaded
__Describe the Bug__

Associations on `bpmn:BoundaryEvents` can be modeled, bu won't be rendered on import.

Created:
![image](https://user-images.githubusercontent.com/25322348/62955253-a207e700-bde8-11e9-80b5-d49be9b1c133.png)

After load:

![image](https://user-images.githubusercontent.com/25322348/62955487-12166d00-bde9-11e9-8763-56bacfd0f288.png)

__Steps to Reproduce__

Using https://demo.bpmn.io/new
1. Create Task
2. Add signal boundary event (Happens for other boundary events too)
3. Associate boundary event with data object
4. Export to file, refresh, import from file

__Expected Behavior__

Associations on Boundary Events will be rendered correctly.

__Environment__

 - Browser: all
 - OS: macOS
 - Library version: 3, 4, 5
",[1.1 Incomplete Data Processing],"['https://user-images.githubusercontent.com/25322348/62955253-a207e700-bde8-11e9-80b5-d49be9b1c133.png', 'https://user-images.githubusercontent.com/25322348/62955487-12166d00-bde9-11e9-8763-56bacfd0f288.png']",Diagram,Program Output,daniel
